core_id,layer_group_id,layer_group_type,duration(us),inst_num,cache_miss,ALU,LT(Cycles),CT(Cycles),iodma_rd(B),iodma_wr(B),shrm_rd(B),shrm_wr(B),broadcast(B)
2,RPAS_7755,CONCAT,6,96,4,27,0,0,0,128,0,0,0
2,7756,CONV,250.96,205,5,79,20000,10012,513408,64128,0,0,0
2,7759,ACTIVE,34.92,310,9,120,0,2605,66176,64128,0,0,0
2,7760,MULT,53.12,218,9,86,0,500,128128,64128,0,0,0
2,7761,CONV,67.44,157,5,71,5000,3002,64256,128128,0,0,0
2,RPAS_7763,ADD,5.44,96,4,27,0,0,0,128,0,0,0
2,RPAS_8252,NOTIFY,3.76,96,4,27,0,0,0,128,0,0,0
2,RPAS_8579,POLL,3.88,96,4,27,0,0,0,128,0,0,0
2,7764,ADD,102.52,284,10,121,0,3000,259072,128128,0,0,0
2,RPAS_8253,NOTIFY,3.88,96,4,27,0,0,0,128,0,0,0
2,RPAS_8082,CONCAT,5.04,96,4,27,0,0,0,128,0,0,0
2,7768,CONV,154.76,194,5,79,6000,5208,257152,32128,0,0,0
2,7771,ACTIVE,44.88,314,9,124,0,1355,34432,32128,0,0,0
2,RPAS_8085,CONCAT,4.8,96,4,27,0,0,0,128,0,0,0
2,RPAS_8409,NOTIFY,4.56,96,4,27,0,0,0,128,0,0,0
2,RPAS_8688,POLL,4.16,96,4,27,0,0,0,128,0,0,0
2,RPAS_8086,CONCAT,3.76,96,4,27,0,0,0,128,0,0,0
2,RPAS_8410,NOTIFY,5.44,96,4,27,0,0,0,128,0,0,0
2,RPAS_8083,CONCAT,6.36,96,4,27,0,0,0,128,0,0,0
2,RPAS_8407,NOTIFY,6.76,96,4,27,0,0,0,128,0,0,0
2,RPAS_8687,POLL,5.56,96,4,27,0,0,0,128,0,0,0
2,RPAS_8084,CONCAT,4.12,96,4,27,0,0,0,128,0,0,0
2,RPAS_8408,NOTIFY,5.44,96,4,27,0,0,0,128,0,0,0
2,RPAS_8580,POLL,6.64,96,4,27,0,0,0,128,0,0,0
2,RPAS_7766,ACTIVE,5.48,96,4,27,0,0,0,128,0,0,0
2,RPAS_8254,NOTIFY,8.12,96,4,27,0,0,0,128,0,0,0
2,RPAS_8471,POLL,3.72,96,4,27,0,0,0,128,0,0,0
2,5687,TFU,96.72,155,3,25,10036,7018,0,128,256000,128000,0
2,RPAS_8175,NOTIFY,5.68,96,4,27,0,0,0,128,0,0,0
2,RPAS_8581,POLL,4.88,96,4,27,0,0,0,128,0,0,0
2,RPAS_7767,MULT,5.04,96,4,27,0,0,0,128,0,0,0
2,RPAS_7772,ACTIVE,6,96,4,27,0,0,0,128,0,0,0
2,RPAS_8255,NOTIFY,8.12,96,4,27,0,0,0,128,0,0,0
2,RPAS_8582,POLL,6.52,96,4,27,0,0,0,128,0,0,0
2,RPAS_7773,MULT,4.96,96,4,27,0,0,0,128,0,0,0
2,RPAS_8087,SPLIT,5.44,96,4,27,0,0,0,128,0,0,0
2,7775,MOVE,5.08,106,5,30,0,0,0,128,0,0,0
2,7774,CONV,309,451,5,231,27000,9308,385152,32128,0,0,0
