core_id,layer_group_id,layer_group_type,duration(us),inst_num,cache_miss,gdma_rd(Bytes),gdma_wr(Bytes),cdma0_recv(B),cmda0_wr(B),cdma1_recv(B),cmda1_wr(B)
2,8158,NOTIFY,2.68,83,4,0,128,0,0,0,0
2,8528,POLL,1.8,83,4,0,128,0,0,0,0
2,7628,ACTIVE,2.08,83,4,0,128,0,0,0,0
2,7989,SPLIT,2.88,83,4,0,128,0,0,0,0
2,8662,POLL,2.96,83,4,0,128,0,0,0,0
2,7990,SPLIT,2.76,83,4,0,128,0,0,0,0
2,7629,MULT,2.8,83,4,0,128,0,0,0,0
2,7630,ADD,14.96,83,4,0,128,0,0,0,0
2,7631,CONV,740.24,158,5,9216,128,9216,9216,18432,18432
2,7995,CONCAT,3.44,83,4,0,128,0,0,0,0
2,8348,NOTIFY,2.6,83,4,0,128,0,0,0,0
2,7634,ACTIVE,4.24,83,4,0,128,0,0,0,0
2,7991,CONCAT,3.96,83,4,0,128,0,0,0,0
2,8345,NOTIFY,4.4,83,4,0,128,0,0,0,0
2,7992,CONCAT,4.24,83,4,0,128,0,0,0,0
2,8346,NOTIFY,4.56,83,4,0,128,0,0,0,0
2,8455,POLL,3.92,83,4,0,128,0,0,0,0
2,5671,TFU,20.72,79,2,90112,128,196608,196608,98304,98304
2,8159,NOTIFY,4.4,83,4,0,128,0,0,0,0
2,8529,POLL,5.16,83,4,0,128,0,0,0,0
2,7635,ACTIVE,3.32,83,4,0,128,0,0,0,0
2,8222,NOTIFY,5.28,83,4,0,128,0,0,0,0
2,8530,POLL,4.12,83,4,0,128,0,0,0,0
2,7636,MULT,4.4,83,4,0,128,0,0,0,0
2,8223,NOTIFY,5.2,83,4,0,128,0,0,0,0
2,8456,POLL,5.68,83,4,0,128,0,0,0,0
2,5672,TFU,12.4,79,2,32768,128,81920,81920,40960,40960
2,8160,NOTIFY,3.4,83,4,0,128,0,0,0,0
2,8531,POLL,3.52,83,4,0,128,0,0,0,0
2,7637,ACTIVE,2.96,83,4,0,128,0,0,0,0
2,8224,NOTIFY,5.08,83,4,0,128,0,0,0,0
2,8532,POLL,9.88,83,4,0,128,0,0,0,0
2,7638,MULT,4.92,83,4,0,128,0,0,0,0
2,8225,NOTIFY,3.44,83,4,0,128,0,0,0,0
2,8663,POLL,4.28,83,4,0,128,0,0,0,0
2,7996,SPLIT,3.12,83,4,0,128,0,0,0,0
2,7640,MOVE,2.32,83,4,0,128,0,0,0,0
2,7639,CONV,1147.84,143,5,552960,128,0,0,0,0
2,7642,ACTIVE,2.44,83,4,0,128,0,0,0,0
2,7643,MULT,1.96,83,4,0,128,0,0,0,0
2,7644,CONV,960.44,143,5,61440,128,0,0,0,0
2,7646,ADD,2.2,83,4,0,128,0,0,0,0
2,8226,NOTIFY,2.32,83,4,0,128,0,0,0,0
2,8533,POLL,2.92,83,4,0,128,0,0,0,0
2,7647,ADD,3.28,83,4,0,128,0,0,0,0
2,8227,NOTIFY,3.8,83,4,0,128,0,0,0,0
2,7997,CONCAT,3.24,83,4,0,128,0,0,0,0
2,7651,CONV,613.04,143,5,61440,128,0,0,0,0
2,7653,ADD,14.96,83,4,0,128,0,0,0,0
2,8534,POLL,3.56,83,4,0,128,0,0,0,0
2,7649,ACTIVE,4.56,83,4,0,128,0,0,0,0
